Time,Time Code,Country Name,Country Code,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]
2020,YR2020,Afghanistan,AFG,-4.57503186436271,-2.35110067344623
2020,YR2020,Albania,ALB,-3.39870846788662,-3.95539792669307
2020,YR2020,Algeria,DZA,-6.82696362319118,-5.09999999999982
2020,YR2020,American Samoa,ASM,4.13808366254634,3.92156862745099
2020,YR2020,Andorra,AND,-12.0882996669955,-11.9526932539653
2020,YR2020,Angola,AGO,-8.39624119385249,-5.39998738958575
2020,YR2020,Antigua and Barbuda,ATG,-20.8549349330109,-20.1923705722071
2020,YR2020,Argentina,ARG,-10.7651077297352,-9.89526896368687
2020,YR2020,Armenia,ARM,-7.5720605257634,-7.40000000000001
2020,YR2020,Aruba,ABW,..,..
2020,YR2020,Australia,AUS,-1.25459826868642,-0.00383655856659004
2020,YR2020,Austria,AUT,-7.12447972593793,-6.73451407608768
2020,YR2020,Azerbaijan,AZE,-4.95270163708527,-4.29999999999997
2020,YR2020,"Bahamas, The",BHS,-15.3322770970022,-14.5144814032903
2020,YR2020,Bahrain,BHR,-8.45537049876401,-5.08518021318916
2020,YR2020,Bangladesh,BGD,2.47635985204822,3.5091358821393
2020,YR2020,Barbados,BRB,-19.07818762048,-18.9795097037672
2020,YR2020,Belarus,BLR,-0.479446185047166,-0.900000000246891
2020,YR2020,Belgium,BEL,-6.20677030768924,-5.65965987018394
2020,YR2020,Belize,BLZ,-15.5827414437054,-14.0105321507761
2020,YR2020,Benin,BEN,1.09009852710551,3.84879240030133
2020,YR2020,Bermuda,BMU,-6.32942429551149,-6.34408024589787
2020,YR2020,Bhutan,BTN,-11.0690288043469,-10.0763411241337
2020,YR2020,Bolivia,BOL,-10.0785803454608,-8.82949361965127
2020,YR2020,Bosnia and Herzegovina,BIH,-2.60143470404519,-3.19695013403583
2020,YR2020,Botswana,BWA,-10.3576481196919,-8.49289351078259
2020,YR2020,Brazil,BRA,-4.74055319539093,-4.05904827267271
2020,YR2020,British Virgin Islands,VGB,..,..
2020,YR2020,Brunei Darussalam,BRN,0.165658548031232,1.13357335070793
2020,YR2020,Bulgaria,BGR,-3.81151594165073,-4.38714983385256
2020,YR2020,Burkina Faso,BFA,-0.907160523079824,1.93032488957256
2020,YR2020,Burundi,BDI,-2.74070846256809,0.297577119233125
2020,YR2020,Cabo Verde,CPV,-15.7109984705467,-14.7834050101145
2020,YR2020,Cambodia,KHM,-4.49404211947801,-3.1475890983283
2020,YR2020,Cameroon,CMR,-2.04245466490876,0.491914742161129
2020,YR2020,Canada,CAN,-6.25999216467793,-5.23302430280606
